,Unnamed: 0.1,Unnamed: 0,index,country,month,name,artists,borda_score,origin_country
0,0,0,86,AE,2023-10,greedy,Tate McRae,695,CA
1,170,1,59,AE,2023-10,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",689,KR
2,379,2,16,AE,2023-10,Cruel Summer,Taylor Swift,660,US
3,459,3,66,AE,2023-10,Strangers,Kenya Grace,641,GB
4,526,4,50,AE,2023-10,Paint The Town Red,Doja Cat,637,US
5,579,5,13,AE,2023-10,Chaleya,"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar",633,IN
6,596,6,39,AE,2023-10,My Love Mine All Mine,Mitski,593,US
7,171,7,1,AE,2023-10,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",585,KR
8,650,8,78,AE,2023-10,Water,Tyla,576,GB
9,674,9,31,AE,2023-10,IDGAF (feat. Yeat),"Drake, Yeat",512,CA
10,712,10,2077,AR,2023-10,Fruto,"Bizarrap, Milo j",686,AR
11,742,11,2083,AR,2023-10,La Morocha,"Luck Ra, BM",686,AR
12,713,12,2094,AR,2023-10,"Milo J: Bzrp Music Sessions, Vol. 57","Bizarrap, Milo j",653,AR
13,785,13,2113,AR,2023-10,Una Foto,Mesita,649,US
14,814,14,2107,AR,2023-10,Si No Estás,iñigo quintero,620,ES
15,878,15,2086,AR,2023-10,Lollipop,Darell,610,PR
16,899,16,2095,AR,2023-10,Ni Una Ni Dos,BM,586,BG
17,908,17,2089,AR,2023-10,Lágrimas | CROSSOVER #4,"Big One, TINI, BM",585,AR
18,935,18,2079,AR,2023-10,GTA.mp3,Emilia,578,SE
19,714,19,2110,AR,2023-10,Toy en el Mic,"Bizarrap, Milo j",541,AR
20,815,20,3726,AT,2023-10,Si No Estás,iñigo quintero,697,ES
21,1,21,3754,AT,2023-10,greedy,Tate McRae,668,CA
22,460,22,3729,AT,2023-10,Strangers,Kenya Grace,666,GB
23,973,23,3681,AT,2023-10,Blonde Chaya - Sped up,"Amaru, Gringo Bamba",654,DE
24,975,24,3741,AT,2023-10,Vois sur ton chemin - Techno Mix,BENNETT,636,US
25,1005,25,3710,AT,2023-10,Ms. Jackson,Pashanim,613,DE
26,1019,26,3719,AT,2023-10,Prada,"cassö, RAYE, D-Block Europe",602,GB
27,1086,27,3711,AT,2023-10,Mädchen auf dem Pferd,"Luca-Dante Spadafora, Niklas Dee, Octavian, Peter Plate, Ulf Leo Sommer",582,DE
28,527,28,3718,AT,2023-10,Paint The Town Red,Doja Cat,571,US
29,1089,29,3695,AT,2023-10,Hässlich,AYLIVA,559,DE
30,528,30,6094,AU,2023-10,Paint The Town Red,Doja Cat,673,US
31,2,31,6128,AU,2023-10,greedy,Tate McRae,669,CA
32,380,32,6066,AU,2023-10,Cruel Summer,Taylor Swift,635,US
33,461,33,6110,AU,2023-10,Strangers,Kenya Grace,616,GB
34,1020,34,6097,AU,2023-10,Prada,"cassö, RAYE, D-Block Europe",598,GB
35,651,35,6118,AU,2023-10,Water,Tyla,596,GB
36,1105,36,6079,AU,2023-10,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",572,US
37,1139,37,6085,AU,2023-10,Last Night,Morgan Wallen,546,US
38,675,38,6098,AU,2023-10,Rich Baby Daddy (feat. Sexyy Red & SZA),"Drake, Sexyy Red, SZA",533,CA
39,1106,39,6107,AU,2023-10,Something in the Orange,Zach Bryan,521,US
40,816,40,7927,BE,2023-10,Si No Estás,iñigo quintero,700,ES
41,1021,41,7917,BE,2023-10,Prada,"cassö, RAYE, D-Block Europe",686,GB
42,462,42,7930,BE,2023-10,Strangers,Kenya Grace,670,GB
43,3,44,7947,BE,2023-10,greedy,BENNETT,652,CA
44,976,43,7941,BE,2023-10,Vois sur ton chemin - Techno Mix,Tate McRae,652,US
45,529,45,7915,BE,2023-10,Paint The Town Red,Doja Cat,630,US
46,1153,46,7888,BE,2023-10,Daylight,David Kushner,615,US
47,1163,47,7883,BE,2023-10,Casanova,"Soolking, Gazo",580,DZ
48,652,48,7942,BE,2023-10,Water,Tyla,578,GB
49,1178,49,7935,BE,2023-10,Tattoo,Loreen,571,SE
50,1180,50,9833,BG,2023-10,"По, по, по","Galena, Azis",698,BG
51,1188,51,9825,BG,2023-10,К'ъв съм як,Djordan,688,BG
52,1211,52,9782,BG,2023-10,MARGINALA,"Mom4eto, Dimoff",667,BG
53,4,53,9817,BG,2023-10,greedy,Tate McRae,651,CA
54,1213,54,9831,BG,2023-10,"Обичам те, ти мене - не",Medi,632,FR
55,463,55,9805,BG,2023-10,Strangers,Kenya Grace,624,GB
56,676,56,9776,BG,2023-10,IDGAF (feat. Yeat),"Drake, Yeat",611,CA
57,1227,57,9783,BG,2023-10,MAZNA,Dimoff,605,BG
58,530,58,9792,BG,2023-10,Paint The Town Red,Doja Cat,584,US
59,1228,59,9820,BG,2023-10,Драскай клечката,Tsvetelina Yaneva,562,BG
60,1232,60,12030,BO,2023-10,PERRO NEGRO,"Bad Bunny, Feid",695,PR
61,1839,61,12038,BO,2023-10,Según Quién,"Maluma, Carin Leon",691,CO
62,1920,62,12033,BO,2023-10,QLONA,"KAROL G, Peso Pluma",669,CO
63,1233,63,12021,BO,2023-10,MONACO,Bad Bunny,653,PR
64,2183,64,12013,BO,2023-10,LALA,Myke Towers,639,PR
65,715,65,12006,BO,2023-10,Fruto,"Bizarrap, Milo j",615,AR
