,index,country,month,name,artists,borda_score
0,86,AE,2023-10,greedy,Tate McRae,695
1,59,AE,2023-10,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",689
2,16,AE,2023-10,Cruel Summer,Taylor Swift,660
3,66,AE,2023-10,Strangers,Kenya Grace,641
4,50,AE,2023-10,Paint The Town Red,Doja Cat,637
5,13,AE,2023-10,Chaleya,"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar",633
6,39,AE,2023-10,My Love Mine All Mine,Mitski,593
7,1,AE,2023-10,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",585
8,78,AE,2023-10,Water,Tyla,576
9,31,AE,2023-10,IDGAF (feat. Yeat),"Drake, Yeat",512
10,2077,AR,2023-10,Fruto,"Bizarrap, Milo j",686
11,2083,AR,2023-10,La Morocha,"Luck Ra, BM",686
12,2094,AR,2023-10,"Milo J: Bzrp Music Sessions, Vol. 57","Bizarrap, Milo j",653
13,2113,AR,2023-10,Una Foto,Mesita,649
14,2107,AR,2023-10,Si No Estás,iñigo quintero,620
15,2086,AR,2023-10,Lollipop,Darell,610
16,2095,AR,2023-10,Ni Una Ni Dos,BM,586
17,2089,AR,2023-10,Lágrimas | CROSSOVER #4,"Big One, TINI, BM",585
18,2079,AR,2023-10,GTA.mp3,Emilia,578
19,2110,AR,2023-10,Toy en el Mic,"Bizarrap, Milo j",541
20,3726,AT,2023-10,Si No Estás,iñigo quintero,697
21,3754,AT,2023-10,greedy,Tate McRae,668
22,3729,AT,2023-10,Strangers,Kenya Grace,666
23,3681,AT,2023-10,Blonde Chaya - Sped up,"Amaru, Gringo Bamba",654
24,3741,AT,2023-10,Vois sur ton chemin - Techno Mix,BENNETT,636
25,3710,AT,2023-10,Ms. Jackson,Pashanim,613
26,3719,AT,2023-10,Prada,"cassö, RAYE, D-Block Europe",602
27,3711,AT,2023-10,Mädchen auf dem Pferd,"Luca-Dante Spadafora, Niklas Dee, Octavian, Peter Plate, Ulf Leo Sommer",582
28,3718,AT,2023-10,Paint The Town Red,Doja Cat,571
29,3695,AT,2023-10,Hässlich,AYLIVA,559
30,6094,AU,2023-10,Paint The Town Red,Doja Cat,673
31,6128,AU,2023-10,greedy,Tate McRae,669
32,6066,AU,2023-10,Cruel Summer,Taylor Swift,635
33,6110,AU,2023-10,Strangers,Kenya Grace,616
34,6097,AU,2023-10,Prada,"cassö, RAYE, D-Block Europe",598
35,6118,AU,2023-10,Water,Tyla,596
36,6079,AU,2023-10,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",572
37,6085,AU,2023-10,Last Night,Morgan Wallen,546
38,6098,AU,2023-10,Rich Baby Daddy (feat. Sexyy Red & SZA),"Drake, Sexyy Red, SZA",533
39,6107,AU,2023-10,Something in the Orange,Zach Bryan,521
40,7927,BE,2023-10,Si No Estás,iñigo quintero,700
41,7917,BE,2023-10,Prada,"cassö, RAYE, D-Block Europe",686
42,7930,BE,2023-10,Strangers,Kenya Grace,670
43,7941,BE,2023-10,Vois sur ton chemin - Techno Mix,BENNETT,652
44,7947,BE,2023-10,greedy,Tate McRae,652
45,7915,BE,2023-10,Paint The Town Red,Doja Cat,630
46,7888,BE,2023-10,Daylight,David Kushner,615
47,7883,BE,2023-10,Casanova,"Soolking, Gazo",580
48,7942,BE,2023-10,Water,Tyla,578
49,7935,BE,2023-10,Tattoo,Loreen,571
50,9833,BG,2023-10,"По, по, по","Galena, Azis",698
51,9825,BG,2023-10,К'ъв съм як,Djordan,688
52,9782,BG,2023-10,MARGINALA,"Mom4eto, Dimoff",667
53,9817,BG,2023-10,greedy,Tate McRae,651
54,9831,BG,2023-10,"Обичам те, ти мене - не",Medi,632
55,9805,BG,2023-10,Strangers,Kenya Grace,624
56,9776,BG,2023-10,IDGAF (feat. Yeat),"Drake, Yeat",611
57,9783,BG,2023-10,MAZNA,Dimoff,605
58,9792,BG,2023-10,Paint The Town Red,Doja Cat,584
59,9820,BG,2023-10,Драскай клечката,Tsvetelina Yaneva,562
60,12030,BO,2023-10,PERRO NEGRO,"Bad Bunny, Feid",695
61,12038,BO,2023-10,Según Quién,"Maluma, Carin Leon",691
62,12033,BO,2023-10,QLONA,"KAROL G, Peso Pluma",669
63,12021,BO,2023-10,MONACO,Bad Bunny,653
64,12013,BO,2023-10,LALA,Myke Towers,639
65,12006,BO,2023-10,Fruto,"Bizarrap, Milo j",615
66,12029,BO,2023-10,OJITOS ROJOS,"Grupo Frontera, Ke Personajes",613
67,12040,BO,2023-10,Si No Estás,iñigo quintero,595
68,12025,BO,2023-10,"Milo J: Bzrp Music Sessions, Vol. 57","Bizarrap, Milo j",571
69,12047,BO,2023-10,Un Finde | CROSSOVER #2,"Big One, FMK, Ke Personajes",570
70,13485,BR,2023-10,Let's Go 4,"Dj GBR, Mc IG, MC Ryan SP, MC PH, Mc Davi, Mc Luki, Mc Don Juan, Mc Kadu, TrapLaudo, MC GP, MC GH do 7",700
71,13465,BR,2023-10,Canudinho - Ao Vivo,"Gusttavo Lima, Ana Castela",679
72,13463,BR,2023-10,Barulho Do Foguete - Ao Vivo,Zé Neto & Cristiano,650
73,13467,BR,2023-10,DENTRO DA HILUX,"Luan Pereira, MC Ryan SP, Mc Daniel",645
74,13461,BR,2023-10,Baile do Bruxo,"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz, Mc Menor Thalis",627
75,13478,BR,2023-10,Faz um Vuk Vuk (Teto Espelhado),"MC Kevin o Chris, Dj Nk Da Serra",612
76,13508,BR,2023-10,Piloto,Flora Matos,611
77,13484,BR,2023-10,Lapada Dela - Ao Vivo,"Grupo Menos É Mais, Matheus Fernandes",607
78,13516,BR,2023-10,Solteiro Forçado - Boiadeira Internacional,Ana Castela,607
79,13519,BR,2023-10,Toca o Trompete,Felipe Amorim,565
80,15460,BY,2023-10,Зима в сердце,Moya Mishel,688
81,15489,BY,2023-10,Царица,ANNA ASTI,670
82,15450,BY,2023-10,АФТЕРПАТИ,"uniqe, nkeeei, ARTEM SHILOVETS, xxxmanera",646
83,15455,BY,2023-10,Вампир,"Scally Milano, uglystephan",631
84,15430,BY,2023-10,F*CK OFF,NEWLIGHTCHILD,598
85,15488,BY,2023-10,Холод,shadowraze,593
